,raw
1948,0.84
1949,0.84
1950,0.79
1951,0.83
1952,0.845
1953,0.845
1954,0.82
1955,0.805
1956,0.82
1957,0.83
1958,0.83
1959,0.855
1960,0.825
1961,0.835
1962,0.845
1963,0.835
1964,0.83
1965,0.8
1966,0.825
1967,0.815
1968,0.83
1969,0.83
1970,0.815
1971,0.805
1972,0.835
1973,0.815
1974,0.845
1975,0.845
1976,0.815
1977,0.83
1978,0.85
1979,0.835
1980,0.84
1981,0.83
1982,0.83
1983,0.865
1984,0.835
1985,0.85
1986,0.825
1987,0.85
1988,0.82
1989,0.835
1990,0.845
1991,0.83
1992,0.84
1993,0.815
1994,0.835
1995,0.825
1996,0.825
1997,0.815
1998,0.815
1999,0.835
2000,0.5
2001,0.52
2002,0.56
2003,0.52
2004,0.55
2005,0.565
2006,0.545
2007,0.64
2008,0.615
2009,0.575
2010,0.565
2011,0.59
2012,0.64
2013,0.62
2014,0.655
2015,0.56
2016,0.59
2017,0.665
2018,0.655
2019,0.63
2020,0.585
2021,0.66
2022,0.68
2023,0.69
2024,0.695
2025,0.59
2026,0.665
2027,0.71
2028,0.645
2029,0.73
2030,0.6
2031,0.685
2032,0.675
2033,0.715
2034,0.715
2035,0.64
2036,0.68
2037,0.725
2038,0.72
2039,0.74
2040,0.64
2041,0.69
2042,0.705
2043,0.76
2044,0.74
2045,0.655
2046,0.75
2047,0.725
2048,0.745
2049,0.715
2050,0.645
2051,0.705
2052,0.755
2053,0.71
2054,0.75
2055,0.665
2056,0.745
2057,0.735
2058,0.765
2059,0.74
2060,0.665
2061,0.72
2062,0.73
2063,0.765
2064,0.735
2065,0.68
2066,0.74
2067,0.785
2068,0.745
2069,0.775
2070,0.67
2071,0.735
2072,0.755
2073,0.755
2074,0.785
2075,0.665
2076,0.77
2077,0.785
2078,0.76
2079,0.78
2080,0.655
2081,0.79
2082,0.78
2083,0.8
2084,0.78
2085,0.695
2086,0.8
2087,0.745
2088,0.81
2089,0.815
2090,0.7
2091,0.75
2092,0.805
2093,0.805
2094,0.795
2095,0.69
2096,0.765
2097,0.805
2098,0.805
2099,0.795
2100,0.7
2101,0.785
2102,0.805
2103,0.795
2104,0.805
2105,0.72
2106,0.765
2107,0.805
2108,0.8
2109,0.835
2110,0.69
2111,0.765
2112,0.775
2113,0.775
2114,0.795
2115,0.72
2116,0.79
2117,0.76
2118,0.81
2119,0.815
2120,0.735
2121,0.78
2122,0.785
2123,0.825
2124,0.805
2125,0.76
2126,0.8
2127,0.78
2128,0.805
2129,0.795
2130,0.735
2131,0.755
2132,0.77
2133,0.815
2134,0.81
2135,0.705
2136,0.825
2137,0.8
2138,0.825
